"Ngram","Freq"
"[る-こ-と-を]",38
"[テ-レ-ワ-ー]",38
"[レ-ワ-ー-ク]",38
"[求-め-ら-れ]",38
"[、-「-鳥-取]",37
"[あ-る-と-考]",37
"[く-こ-と-が]",37
"[し-た-。-こ]",37
"[し-て-い-た]",37
"[で-し-た-。]",37
"[る-た-め-、]",37
"[取-城-北-高]",37
"[城-北-高-校]",37
"[鳥-取-城-北]",37
"[。-そ-ん-な]",36
"[い-た-だ-き]",36
"[え-ら-れ-ま]",36
"[ま-っ-て-い]",36
"[る-で-し-ょ]",36
"[を-考-え-る]",36
"[介-し-て-い]",36
"[、-新-型-コ]",35
"[ー-ト-フ-ォ]",35
"[う-に-な-り]",35
"[す-。-そ-れ]",35
"[そ-れ-ぞ-れ]",35
"[た-。-こ-の]",35
"[な-り-ま-し]",35
"[セ-ン-タ-ー]",35
"[デ-ー-タ-を]",35
"[プ-ロ-ジ-ェ]",35
"[ロ-ジ-ェ-ク]",35
"[鳥-取-県-内]",35
"[い-き-た-い]",34
"[た-。-し-か]",34
"[て-い-き-た]",34
"[と-い-う-の]",34
"[の-コ-ロ-ナ]",34
"[め-て-い-る]",34
"[も-あ-り-ま]",34
"[ジ-ェ-ク-ト]",34
"[ベ-ー-シ-ョ]",34
"[紹-介-し-ま]",34
"[T-O-R-I]",33
"[、-鳥-取-の]",33
"[。-そ-の-た]",33
"[え-る-こ-と]",33
"[そ-の-た-め]",33
"[そ-の-よ-う]",33
"[っ-て-し-ま]",33
"[と-考-え-ら]",33
"[ま-す-。-「]",33
"[よ-う-に-、]",33
"[り-組-み-を]",33
"[れ-る-こ-と]",33
"[ん-で-い-る]",33
"[ス-マ-ー-ト]",33
"[ト-フ-ォ-ン]",33
"[マ-ー-ト-フ]",33
"[考-え-ま-す]",33
"[I-N-E-S]",32
"[N-L-I-N]",32
"[O-N-L-I]",32
"[O-R-I-B]",32
"[O-T-T-O]",32
"[S-O-N-L]",32
"[T-O-T-T]",32
"[T-T-O-R]",32
"[。-こ-れ-は]",32
"[そ-し-て-、]",32
"[た-い-と-思]",32
"[っ-た-の-で]",32
"[で-あ-り-、]",32
"[と-っ-と-り]",32
"[な-い-と-い]",32
"[を-通-し-て]",32
"[イ-ン-タ-ー]",32
"[今-回-は-、]",32
"[自-分-た-ち]",32
"[B-U-S-I]",31
"[I-B-U-S]",31
"[P-r-o-j]",31
"[R-I-B-U]",31
"[S-I-N-E]",31
"[U-S-I-N]",31
"[j-e-c-t]",31
"[o-j-e-c]",31
"[r-o-j-e]",31
"[か-と-い-う]",31
"[け-で-な-く]",31
"[こ-と-か-ら]",31
"[こ-と-は-、]",31
"[だ-け-で-な]",31
"[っ-て-い-た]",31
"[な-る-こ-と]",31
"[行-っ-て-い]",31
"[高-齢-化-率]",31
"[E-S-S-O]",30
"[N-E-S-S]",30
"[S-S-O-N]",30
"[が-挙-げ-ら]",30
"[さ-せ-て-い]",30
"[さ-れ-ま-す]",30
"[り-ま-す-が]",30
"[シ-ス-テ-ム]",30
"[人-口-減-少]",30
"[2-0-1-9]",29
"[あ-る-の-で]",29
"[い-の-で-は]",29
"[て-し-ま-う]",29
"[で-す-。-し]",29
"[の-鳥-取-県]",29
"[を-紹-介-し]",29
"[イ-ン-授-業]",29
"[ラ-イ-ン-授]",29
"[傾-向-に-あ]",29
"[E-S-A-S]",28
"[R-E-S-A]",28
"[e-b-就-活]",28
"[い-で-す-。]",28
"[き-て-い-る]",28
"[げ-ら-れ-ま]",28
"[こ-れ-ら-の]",28
"[す-。-そ-こ]",28
"[っ-た-こ-と]",28
"[で-き-る-の]",28
"[で-は-あ-り]",28
"[に-関-す-る]",28
"[は-鳥-取-県]",28
"[や-り-た-い]",28
"[る-こ-と-も]",28
"[を-す-る-こ]",28
"[を-持-っ-て]",28
"[イ-ル-ス-に]",28
"[ロ-ボ-ッ-ト]",28
"[影-響-を-受]",28
"[響-を-受-け]",28
"[取-県-で-は]",28
"[都-道-府-県]",28
"[--R-E-S]",27
"[V---R-E]",27
"[。-こ-れ-ら]",27
"[。-例-え-ば]",27
"[い-た-だ-け]",27
"[か-ら-こ-そ]",27
"[し-れ-な-い]",27
"[せ-て-い-た]",27
"[た-め-に-、]",27
"[て-い-る-人]",27
"[と-い-っ-た]",27
"[と-考-え-ま]",27
"[の-ビ-ジ-ネ]",27
"[も-し-れ-な]",27
"[り-、-鳥-取]",27
"[る-の-は-、]",27
"[る-取-り-組]",27
"[コ-ロ-ナ-の]",27
"[ノ-ベ-ー-シ]",27
"[メ-ン-バ-ー]",27
"[生-活-様-式]",27
"[W-e-b-就]",26
"[か-り-ま-す]",26
"[こ-と-が-あ]",26
"[こ-の-記-事]",26
"[こ-れ-ま-で]",26
"[し-た-。-し]",26
"[そ-こ-で-、]",26
"[て-き-ま-し]",26
"[で-す-。-ま]",26
"[で-す-。-鳥]",26
"[な-け-れ-ば]",26
"[る-鳥-取-県]",26
"[ス-の-影-響]",26
"[デ-ザ-イ-ン]",26
"[ル-ス-の-影]",26
"[安-部-小-P]",26
"[介-し-ま-す]",26
"[小-P-r-o]",26
"[鳥-取-県-が]",26
"[必-要-が-あ]",26
"[部-小-P-r]",26
"[名-刺-交-換]",26
"[、-様-々-な]",25
"[す-。-今-回]",25
"[た-の-で-す]",25
"[な-取-り-組]",25
"[の-た-め-に]",25
"[れ-る-よ-う]",25
"[ろ-う-か-。]",25
"[イ-ノ-ベ-ー]",25
"[チ-ャ-ッ-ト]",25
"[除-ロ-ボ-ッ]",25
"[掃-除-ロ-ボ]",25
"[地-域-活-性]",25
"[福-利-厚-生]",25
"[,-0-0-0]",24
"[い-こ-と-が]",24
"[い-る-の-か]",24
"[お-い-て-、]",24
"[が-求-め-ら]",24
"[き-た-い-と]",24
"[し-た-が-、]",24
"[た-。-鳥-取]",24
"[だ-と-思-い]",24
"[だ-ろ-う-か]",24
"[っ-て-お-り]",24
"[て-い-る-か]",24
"[と-な-り-ま]",24
"[な-影-響-を]",24
"[に-よ-る-と]",24
"[に-鳥-取-県]",24
"[み-て-く-だ]",24
"[め-ま-し-た]",24
"[り-組-み-が]",24
"[る-可-能-性]",24
"[ス-の-感-染]",24
"[ル-ス-に-よ]",24
