"Ngram","Freq"
"[す-。]",1996
"[て-い]",1837
"[ま-す]",1543
"[し-て]",1272
"[こ-と]",1264
"[っ-て]",1149
"[鳥-取]",1140
"[は-、]",870
"[し-た]",846
"[す-る]",843
"[い-る]",836
"[い-ま]",761
"[な-い]",752
"[で-は]",704
"[で-す]",702
"[取-県]",700
"[か-ら]",655
"[あ-る]",644
"[る-と]",570
"[る-こ]",560
"[た-。]",553
"[と-い]",519
"[っ-た]",515
"[よ-う]",507
"[る-。]",495
"[い-う]",493
"[の-で]",474
"[り-ま]",448
"[て-、]",425
"[な-ど]",424
"[ま-し]",415
"[で-き]",413
"[。-そ]",401
"[る-の]",401
"[と-が]",393
"[こ-の]",392
"[い-て]",379
"[れ-て]",375
"[さ-れ]",373
"[。-こ]",366
"[考-え]",365
"[あ-り]",364
"[が-あ]",361
"[に-な]",360
"[れ-る]",359
"[そ-の]",353
"[で-、]",341
"[は-な]",330
"[り-、]",330
"[が-、]",329
"[に-よ]",319
"[」-と]",317
"[え-る]",317
"[で-あ]",314
"[、-鳥]",313
"[な-っ]",302
"[し-、]",300
"[ら-れ]",299
"[と-し]",297
"[し-ま]",292
"[い-た]",291
"[地-域]",284
"[に-は]",279
"[イ-ン]",277
"[な-る]",272
"[で-し]",267
"[か-。]",266
"[れ-ま]",266
"[と-思]",265
"[2-0]",259
"[た-め]",251
"[県-の]",248
"[よ-り]",246
"[き-ま]",245
"[と-な]",244
"[い-。]",241
"[企-業]",241
"[な-く]",240
"[き-る]",239
"[取-り]",239
"[え-て]",237
"[の-よ]",237
"[い-と]",236
"[う-な]",235
"[と-は]",233
"[。-鳥]",230
"[が-で]",228
"[う-に]",226
"[と-で]",226
"[、-「]",225
"[も-の]",225
"[0-0]",222
"[ょ-う]",221
"[し-ょ]",219
"[な-り]",218
"[コ-ロ]",217
"[ロ-ナ]",217
"[た-い]",216
"[こ-れ]",214
"[に-つ]",212
"[に-、]",210
"[ま-で]",210
"[。-「]",208
"[と-、]",207
"[ッ-ト]",206
"[思-い]",205
"[日-本]",205
"[で-も]",204
"[し-か]",203
"[よ-っ]",202
"[い-く]",199
"[つ-い]",199
"[と-言]",197
"[わ-れ]",196
"[ど-の]",193
"[、-そ]",192
"[人-口]",192
"[う-か]",190
"[か-し]",190
"[て-も]",190
"[く-な]",189
"[き-な]",182
"[ま-た]",182
"[ま-せ]",178
"[い-か]",176
"[う-こ]",174
"[。-ま]",173
"[し-い]",173
"[せ-ん]",173
"[組-み]",171
"[さ-ん]",170
"[り-組]",170
"[的-に]",169
"[で-の]",167
"[イ-ル]",165
"[タ-ー]",163
"[事-業]",163
"[そ-れ]",162
"[大-き]",161
"[。-し]",159
"[会-社]",159
"[全-国]",158
"[た-ち]",157
"[に-も]",157
"[と-考]",155
"[た-、]",154
"[れ-た]",154
"[、-こ]",153
"[だ-け]",151
"[と-を]",149
"[と-に]",148
"[め-て]",148
"[ん-。]",148
"[ル-ス]",148
"[ー-ン]",147
"[る-よ]",147
"[ー-ル]",146
"[の-中]",146
"[紹-介]",146
"[け-る]",145
"[れ-ば]",144
"[仕-事]",144
"[い-で]",143
"[に-お]",143
"[の-か]",143
"[の-は]",142
"[を-し]",142
"[影-響]",141
"[ー-ト]",140
"[い-の]",139
