"Ngram","Freq"
"[ま-す-。]",1374
"[て-い-る]",756
"[い-ま-す]",696
"[鳥-取-県]",687
"[で-す-。]",592
"[る-こ-と]",553
"[し-て-い]",512
"[て-い-ま]",504
"[っ-て-い]",503
"[と-い-う]",474
"[し-た-。]",413
"[こ-と-が]",392
"[ま-し-た]",382
"[れ-て-い]",318
"[り-ま-す]",315
"[、-鳥-取]",313
"[で-は-な]",275
"[と-し-て]",250
"[あ-り-ま]",236
"[の-よ-う]",236
"[。-鳥-取]",230
"[取-県-の]",227
"[な-っ-て]",226
"[が-で-き]",221
"[よ-う-に]",220
"[し-ょ-う]",219
"[で-あ-る]",217
"[は-な-い]",217
"[コ-ロ-ナ]",217
"[こ-と-で]",216
"[。-こ-の]",214
"[よ-う-な]",211
"[で-き-る]",209
"[よ-っ-て]",201
"[で-し-ょ]",199
"[に-よ-っ]",199
"[が-あ-る]",194
"[で-は-、]",192
"[る-の-で]",191
"[す-。-こ]",188
"[す-。-そ]",186
"[つ-い-て]",181
"[思-い-ま]",180
"[す-る-こ]",178
"[に-つ-い]",177
"[と-思-い]",176
"[う-か-。]",174
"[う-こ-と]",173
"[ま-せ-ん]",173
"[の-で-は]",171
"[て-い-く]",170
"[取-り-組]",170
"[き-ま-す]",169
"[し-て-、]",165
"[。-そ-の]",164
"[い-る-。]",164
"[し-か-し]",161
"[と-が-で]",160
"[。-し-か]",156
"[て-い-た]",156
"[え-て-い]",155
"[と-考-え]",155
"[あ-る-と]",149
"[か-し-、]",147
"[。-ま-た]",146
"[ょ-う-か]",146
"[こ-と-を]",145
"[る-よ-う]",144
"[り-組-み]",142
"[せ-ん-。]",141
"[の-で-す]",140
"[ロ-ナ-ウ]",138
"[イ-ル-ス]",137
"[ウ-イ-ル]",137
"[さ-れ-て]",135
"[ま-た-、]",135
"[」-と-い]",132
"[れ-ま-す]",130
"[こ-と-に]",129
"[ナ-ウ-イ]",129
"[考-え-て]",127
"[っ-て-、]",126
"[て-い-き]",122
"[な-り-ま]",122
"[が-あ-り]",121
"[い-う-こ]",119
"[と-な-っ]",117
"[る-た-め]",117
"[あ-る-。]",115
"[す-。-鳥]",114
"[に-な-る]",114
"[こ-と-は]",113
"[な-い-か]",113
"[に-な-っ]",111
"[し-ま-し]",110
"[い-る-の]",108
"[ら-れ-る]",108
"[く-だ-さ]",107
"[型-コ-ロ]",107
"[新-型-コ]",107
"[い-こ-と]",104
"[か-っ-た]",104
"[ジ-ネ-ス]",104
"[ビ-ジ-ネ]",104
"[を-す-る]",103
"[す-が-、]",102
"[。-こ-れ]",101
"[し-ま-す]",100
"[な-ど-の]",100
"[大-き-な]",100
"[い-た-だ]",99
"[だ-さ-い]",98
"[に-な-り]",98
"[2-0-1]",97
"[る-と-、]",97
"[紹-介-し]",97
"[す-。-ま]",96
"[と-言-え]",96
"[い-る-と]",95
"[か-も-し]",95
"[も-し-れ]",95
"[デ-ー-タ]",95
"[鳥-取-の]",95
"[、-そ-の]",94
"[の-こ-と]",94
"[る-と-い]",93
"[取-県-に]",93
"[た-め-に]",92
"[様-々-な]",91
"[な-い-と]",90
"[た-こ-と]",89
"[を-し-て]",89
"[考-え-る]",89
"[わ-れ-て]",88
"[ラ-イ-ン]",88
"[た-め-、]",87
"[い-き-ま]",86
"[あ-り-、]",85
"[す-。-し]",85
"[た-。-そ]",85
"[オ-ン-ラ]",85
"[ン-ラ-イ]",85
"[ら-れ-ま]",84
"[の-た-め]",83
"[え-ま-す]",81
"[さ-れ-る]",81
"[す-る-と]",81
"[い-で-し]",80
"[お-い-て]",80
"[く-こ-と]",80
"[さ-い-。]",80
"[な-い-で]",80
"[は-な-く]",80
"[と-っ-て]",79
"[い-か-と]",78
"[な-い-。]",78
"[、-2-0]",77
"[に-と-っ]",77
"[る-と-言]",77
"[ワ-ー-ク]",77
"[え-ら-れ]",76
"[な-く-、]",76
"[な-っ-た]",76
"[に-お-い]",76
"[シ-ョ-ン]",76
"[0-0-円]",75
"[I-N-E]",75
"[「-鳥-取]",75
"[こ-の-よ]",75
"[そ-し-て]",75
"[め-て-い]",75
"[の-中-で]",74
"[ン-タ-ー]",74
"[い-と-思]",73
"[と-で-す]",73
"[に-は-、]",73
"[。-そ-れ]",72
"[ら-な-い]",72
"[子-育-て]",72
"[で-き-ま]",71
"[グ-ラ-フ]",71
"[だ-け-で]",70
"[に-よ-る]",70
"[り-ま-し]",69
"[れ-ま-せ]",69
"[今-回-は]",69
"[し-れ-ま]",68
"[て-し-ま]",68
"[新-し-い]",68
"[、-こ-の]",67
"[ー-シ-ョ]",67
"[っ-た-。]",67
"[れ-な-い]",67
"[、-日-本]",66
"[い-と-い]",66
"[う-に-な]",66
"[く-な-る]",66
"[の-で-、]",66
"[れ-か-ら]",66
"[を-考-え]",66
"[可-能-性]",66
"[き-ま-し]",65
"[さ-れ-た]",65
"[と-な-る]",65
"[と-は-、]",65
"[な-の-で]",65
"[の-取-り]",65
"[る-の-か]",65
"[高-齢-化]",65
"[取-県-で]",65
"[な-か-っ]",64
"[る-と-考]",64
"[ん-で-い]",64
"[い-て-、]",63
"[が-多-い]",63
"[の-影-響]",63
"[を-受-け]",63
"[キ-ャ-ッ]",63
"[言-わ-れ]",63
"[0-0-0]",62
"[あ-る-の]",62
"[た-の-で]",62
"[で-き-な]",62
"[で-す-が]",62
"[よ-り-も]",62
"[る-と-思]",62
"[。-今-回]",61
"[あ-っ-た]",61
"[に-対-し]",61
"[の-は-、]",61
"[言-え-る]",61
"[子-ど-も]",61
"[取-県-は]",61
"[い-の-で]",60
"[く-な-っ]",60
"[こ-れ-か]",60
"[て-お-り]",60
"[め-ら-れ]",60
"[ょ-う-。]",60
"[多-く-の]",60
"[地-域-の]",60
"[ー-ビ-ス]",59
"[た-い-と]",59
"[て-く-だ]",59
"[り-ま-せ]",59
"[サ-ー-ビ]",59
"[リ-ッ-ト]",59
"[ル-ス-の]",59
"[考-え-ら]",59
"[ど-の-よ]",58
"[な-が-ら]",58
"[に-あ-る]",58
"[る-の-は]",58
"[メ-リ-ッ]",58
"[鳥-取-市]",58
"[日-本-の]",58
"[か-ら-、]",57
"[か-ら-の]",57
"[こ-と-も]",57
"[鳥-取-に]",57
"[、-こ-れ]",56
"[い-る-こ]",56
"[っ-た-の]",56
"[も-あ-り]",56
"[ら-れ-て]",56
"[影-響-を]",56
"[。-そ-し]",55
"[い-な-い]",55
"[き-た-い]",55
"[そ-こ-で]",55
"[イ-ン-ト]",55
"[ッ-シ-ュ]",55
"[ポ-イ-ン]",55
"[ャ-ッ-シ]",55
"[。-そ-こ]",54
"[す-。-「]",54
"[す-か-。]",54
"[は-あ-り]",54
"[る-も-の]",54
"[ツ-ー-ル]",54
"[い-て-い]",53
"[が-増-え]",53
"[と-言-わ]",53
"[な-く-な]",53
"[シ-ュ-レ]",53
"[ュ-レ-ス]",53
"[ま-す-が]",52
"[イ-ン-タ]",52
"[最-後-に]",52
"[私-た-ち]",52
"[地-域-に]",52
"[2-0-2]",51
"[げ-ら-れ]",51
"[て-い-な]",51
"[と-で-、]",51
"[は-、-鳥]",51
