"Ngram","Freq"
"[コロナ-ウィルス]",9
"[メリット-デメリット]",9
"[移住-者]",9
"[貝-本]",9
"[学び-場]",9
"[記事-紹介]",9
"[月-30]",9
"[後-仕事]",9
"[最後-鳥取]",9
"[産業-構造]",9
"[取り組み-こと]",9
"[取り組み-紹介]",9
"[取締役-社長]",9
"[宿泊-者]",9
"[少子-高齢]",9
"[人-の]",9
"[人口-人口]",9
"[睡眠-不足]",9
"[数-年]",9
"[性-高い]",9
"[前任-者]",9
"[倉吉-市]",9
"[増加-傾向]",9
"[多く-方]",9
"[鳥取-鳥取]",9
"[日本-全国]",9
"[年-時点]",9
"[保護-者]",9
"[方-鳥取]",9
"[利用-率]",9
"[力-こと]",9
"[/-1]",8
"[2-回]",8
"[5-,]",8
"[BTC-人材]",8
"[C-T]",8
"[I-C]",8
"[ICT-実装]",8
"[２-０]",8
"[こと-現在]",8
"[こと-大事]",8
"[こと-良い]",8
"[これ-私]",8
"[たち-生活]",8
"[たち-鳥取]",8
"[の-これ]",8
"[の-今回]",8
"[もの-鳥取]",8
"[よう-取り組み]",8
"[コロナ-影響]",8
"[タク-配]",8
"[データ-グラフ]",8
"[データ-鳥取]",8
"[ホームページ-こちら]",8
"[ライブ-授業]",8
"[以下-よう]",8
"[以上-人口]",8
"[影響-こと]",8
"[影響-の]",8
"[円-券]",8
"[家庭-内]",8
"[外-就職]",8
"[活動-自粛]",8
"[株式会社-鳥取]",8
"[完全-失業]",8
"[看護-師]",8
"[関係-者]",8
"[岩美-町]",8
"[企業-誘致]",8
"[期間-中]",8
"[技術-革新]",8
"[協力-者]",8
"[金-助成]",8
"[金-制度]",8
"[献血-協力]",8
"[県-企業]",8
"[県-共働き]",8
"[県-全体]",8
"[今-日本]",8
"[今回-コロナ]",8
"[時間-こと]",8
"[者-側]",8
"[者-多い]",8
"[若い-世代]",8
"[集中-力]",8
"[女性-負担]",8
"[人手-不足]",8
"[整理-整頓]",8
"[説明-会]",8
"[宣言-解除]",8
"[掃除-時間]",8
"[対応-こと]",8
"[大手-企業]",8
"[地域-住民]",8
"[地方-創]",8
"[鳥取-こと]",8
"[鳥取-県知事]",8
"[鳥取-魅力]",8
"[的-こと]",8
"[南部-町]",8
"[必要-こと]",8
"[必要-の]",8
"[平成-30]",8
"[保育-認証]",8
"[縫製-業]",8
"[本-氏]",8
"[率-上昇]",8
"[1-億]",7
"[10-月]",7
"[2015-年]",7
"[27-年]",7
"[28-年]",7
"[29-年]",7
"[30-年]",7
"[31-日]",7
"[5-%]",7
"[5000-円]",7
"[6-,]",7
"[7-/]",7
"[?-県]",7
"[いい-の]",7
"[こと-これら]",7
"[こと-ため]",7
"[こと-環境]",7
"[こと-重要]",7
"[こと-挑戦]",7
"[これ-鳥取]",7
"[たばこ-税]",7
"[ため-取り組み]",7
"[っ子-夏]",7
"[の-それ]",7
"[の-ため]",7
