"","Term","business","culture","datademirutottori","opinion","press_release","public","total"
"139","自然",13,0,16,9,0,16,54
"140","価値",11,6,2,28,3,3,53
"141","活用",20,0,6,11,6,10,53
"142","商品",23,0,1,1,7,21,53
"143","平均",12,0,27,5,0,9,53
"144","安部",0,0,0,52,0,0,52
"145","介護",4,0,11,35,0,2,52
"146","街",40,0,2,2,2,6,52
"147","機会",16,0,4,14,15,3,52
"148","結果",16,0,22,10,0,4,52
"149","地",7,0,22,8,7,8,52
"150","調査",12,0,24,10,2,4,52
"151","ポイント",46,0,0,2,0,3,51
"152","株式会社",39,0,1,2,9,0,51
"153","軸",34,0,0,17,0,0,51
"154","生産",30,1,8,9,2,1,51
"155","目",21,0,1,24,3,2,51
"156","導入",18,0,16,16,0,0,50
"157","7",17,0,9,6,0,17,49
"158","キャッシュ",48,0,0,0,0,1,49
"159","移住",10,0,1,14,2,22,49
"160","型",2,0,1,29,9,8,49
"161","若者",6,0,26,8,3,6,49
"162","対応",27,1,3,15,0,3,49
"163","理由",9,0,21,10,5,4,49
"164","点",18,0,3,21,1,5,48
"165","分",18,0,0,4,4,22,48
"166","レス",46,0,0,0,0,1,47
"167","献血",0,0,0,0,47,0,47
"168","増加",16,0,21,3,1,6,47
"169","読書",16,0,31,0,0,0,47
"170","普及",20,0,25,1,0,1,47
"171","こちら",9,0,4,4,1,28,46
"172","交通",7,0,16,20,0,3,46
"173","先",20,0,6,13,2,5,46
"174","他",29,0,7,4,2,4,46
"175","度",22,0,3,13,7,1,46
"176","変化",18,0,13,7,2,6,46
"177","2020",11,0,2,11,9,12,45
"178","ワーク",23,0,6,12,0,4,45
"179","業務",14,0,0,30,1,0,45
"180","実施",18,0,2,10,4,11,45
"181","所",8,1,27,3,0,6,45
"182","体験",19,0,0,5,1,20,45
"183","特徴",22,0,11,1,1,10,45
"184","年間",11,0,5,26,1,2,45
"185","関係",8,1,15,16,3,1,44
"186","１",22,0,1,9,3,8,43
"187","IT",25,0,0,13,4,1,43
"188","業界",25,0,2,4,4,8,43
"189","差",14,0,17,5,0,7,43
"190","質問",15,0,5,20,3,0,43
"191","対策",20,0,10,2,0,11,43
"192","東京",10,0,10,11,4,8,43
"193","内容",21,0,1,17,1,3,43
"194","30",9,0,10,12,1,10,42
"195","家庭",11,0,7,10,2,12,42
"196","就活",41,0,1,0,0,0,42
"197","側",25,0,1,11,3,2,42
"198","大山",6,0,3,6,21,6,42
"199","都会",4,0,5,15,2,16,42
"200","たくさん",17,0,9,5,3,7,41
"201","以前",11,0,5,7,2,16,41
"202","会",27,1,1,5,5,2,41
"203","割合",4,0,36,1,0,0,41
"204","個人",20,0,0,20,1,0,41
"205","厚生",27,0,1,4,0,9,41
"206","城北",0,0,0,41,0,0,41
"207","平成",2,0,28,4,0,7,41
"208","未来",23,0,2,11,1,4,41
"209","歳",6,0,17,11,0,6,40
"210","全体",22,0,14,1,1,2,40
"211","ツール",25,0,1,13,0,0,39
"212","ローン",36,0,1,0,1,1,39
"213","拡大",16,0,2,7,2,12,39
"214","経験",16,0,0,21,2,0,39
"215","成長",14,1,1,15,4,4,39
"216","通り",12,0,14,5,3,5,39
"217","田舎",6,0,3,6,0,24,39
"218","令",1,0,12,2,1,23,39
"219","和",1,0,12,2,1,23,39
"220","これら",13,0,4,14,0,7,38
"221","活性",4,0,0,23,4,7,38
"222","技術",24,2,1,10,1,0,38
"223","消費",27,1,4,0,0,6,38
"224","対象",14,0,3,2,0,19,38
"225","代",32,0,1,3,0,2,38
"226","大切",16,0,7,11,0,4,38
"227","方法",24,0,0,3,5,6,38
"228","意味",19,1,1,15,0,1,37
"229","員",30,0,0,7,0,0,37
"230","間",7,0,12,5,2,11,37
"231","市町村",3,0,17,0,0,17,37
"232","省",6,0,20,7,0,4,37
"233","展開",8,0,1,5,1,22,37
"234","補助",8,0,0,4,0,25,37
"235","キャンペーン",14,0,0,0,0,22,36
"236","そう",17,0,4,3,4,8,36
"237","意見",12,0,1,12,0,11,36
