"","Term","business","culture","datademirutottori","opinion","press_release","public","total"
"1461","36",2,0,2,0,0,1,5
"1462","44",2,0,1,1,1,0,5
"1463","47",2,0,3,0,0,0,5
"1464","50",0,0,4,0,0,1,5
"1465","７",3,0,0,0,0,2,5
"1466","８",4,0,0,1,0,0,5
"1467","GDP",3,0,0,0,0,2,5
"1468","kWh",5,0,0,0,0,0,5
"1469","PR",1,0,1,2,1,0,5
"1470","Zoom",3,0,1,1,0,0,5
"1471","アウトプット",3,0,0,2,0,0,5
"1472","アクション",2,0,0,0,3,0,5
"1473","アマゾンラテルナ",0,0,0,0,5,0,5
"1474","うえ",4,0,0,1,0,0,5
"1475","うどん",0,0,0,0,0,5,5
"1476","おいしい",3,0,1,0,0,1,5
"1477","オーダー",5,0,0,0,0,0,5
"1478","お話",2,2,0,1,0,0,5
"1479","がん",3,0,0,1,1,0,5
"1480","キャッシュレス",5,0,0,0,0,0,5
"1481","キャンセル",1,0,0,1,3,0,5
"1482","コピー",0,0,0,0,3,2,5
"1483","シート",1,0,0,0,0,4,5
"1484","シェア",1,0,0,4,0,0,5
"1485","しなやか",0,0,0,5,0,0,5
"1486","ショック",0,0,2,0,0,3,5
"1487","ジレンマ",0,0,0,0,0,5,5
"1488","シンプル",3,0,0,2,0,0,5
"1489","タイトル",2,0,1,2,0,0,5
"1490","チャレンジ",0,0,0,3,0,2,5
"1491","チャンス",3,0,0,1,1,0,5
"1492","チラシ",1,0,0,0,0,4,5
"1493","ツアー",0,0,0,2,0,3,5
"1494","つながり",1,0,0,3,1,0,5
"1495","トラブル",3,0,0,2,0,0,5
"1496","ならでは",1,0,0,2,0,2,5
"1497","ビジネスチャンス",2,0,1,2,0,0,5
"1498","ピンチ",1,0,0,0,4,0,5
"1499","フィールド",2,0,0,0,0,3,5
"1500","フォロー",4,0,0,0,0,1,5
"1501","フリーランス",0,0,0,5,0,0,5
"1502","フル",2,0,0,3,0,0,5
"1503","プレゼン",0,0,0,5,0,0,5
"1504","プログラミング",2,0,0,3,0,0,5
"1505","ポスト",1,0,0,4,0,0,5
"1506","マインド",1,0,0,4,0,0,5
"1507","みるく",0,0,0,0,0,5,5
"1508","メモ",0,0,0,4,0,1,5
"1509","やりがい",0,0,0,5,0,0,5
"1510","リーマン",0,0,2,0,0,3,5
"1511","レベル",2,0,0,2,1,0,5
"1512","わたし",0,0,0,5,0,0,5
"1513","安川",0,0,0,5,0,0,5
"1514","意義",3,0,1,1,0,0,5
"1515","意思",2,0,0,3,0,0,5
"1516","医師",1,0,0,4,0,0,5
"1517","育苗",5,0,0,0,0,0,5
"1518","一時",1,0,0,2,0,2,5
"1519","一斉",2,0,0,2,0,1,5
"1520","衛生",4,0,1,0,0,0,5
"1521","疫病",0,0,0,4,0,1,5
"1522","応募",3,0,0,1,0,1,5
"1523","沖縄",1,0,1,2,1,0,5
"1524","屋外",2,0,0,0,0,3,5
"1525","加速",2,0,3,0,0,0,5
"1526","可視",1,0,3,1,0,0,5
"1527","家屋",5,0,0,0,0,0,5
"1528","科学",1,0,0,4,0,0,5
"1529","解説",4,0,0,0,0,1,5
"1530","海",0,0,0,0,0,5,5
"1531","海水浴",0,0,0,0,0,5,5
"1532","各々",2,0,0,3,0,0,5
"1533","核",0,0,1,4,0,0,5
"1534","確立",2,0,0,1,1,1,5
"1535","学年",3,0,0,1,0,1,5
"1536","学部",0,0,0,5,0,0,5
"1537","活発",1,1,2,1,0,0,5
"1538","換気",2,0,0,1,0,2,5
"1539","寄稿",0,0,0,1,4,0,5
"1540","記録",4,0,0,0,0,1,5
"1541","休暇",3,0,1,1,0,0,5
"1542","求職",1,0,0,4,0,0,5
"1543","距離",0,0,1,0,0,4,5
"1544","競争",2,0,0,3,0,0,5
"1545","協賛",0,0,0,1,0,4,5
"1546","境港",1,0,1,0,0,3,5
"1547","強化",0,0,1,3,0,1,5
"1548","業者",2,0,0,1,0,2,5
"1549","菌",3,0,0,2,0,0,5
"1550","空間",1,0,0,3,0,1,5
"1551","系",2,0,0,2,1,0,5
"1552","経由",1,0,1,0,0,3,5
"1553","軽い",2,0,0,0,0,3,5
"1554","軽減",0,0,0,1,0,4,5
"1555","結婚",4,0,1,0,0,0,5
"1556","月末",1,0,1,0,0,3,5
"1557","建物",4,0,0,1,0,0,5
"1558","研究所",2,0,3,0,0,0,5
"1559","言及",1,0,2,2,0,0,5
"1560","個",2,0,0,3,0,0,5
"1561","御社",5,0,0,0,0,0,5
"1562","孝博",0,0,0,0,5,0,5
"1563","控除",5,0,0,0,0,0,5
"1564","校",0,0,0,5,0,0,5
"1565","校区",0,0,0,5,0,0,5
"1566","校舎",0,0,0,5,0,0,5
"1567","国民",3,0,1,1,0,0,5
"1568","今日",3,0,2,0,0,0,5
"1569","砂丘",4,0,1,0,0,0,5
"1570","最下位",0,0,5,0,0,0,5
"1571","最適",4,0,0,1,0,0,5
"1572","祭",0,0,0,5,0,0,5
"1573","阪",5,0,0,0,0,0,5
"1574","山口",4,0,0,0,0,1,5
"1575","産",0,0,0,0,2,3,5
"1576","産地",3,0,0,0,2,0,5
"1577","史",5,0,0,0,0,0,5
"1578","始め",0,0,1,4,0,0,5
"1579","姿",1,0,0,4,0,0,5
"1580","氏名",0,0,0,5,0,0,5
"1581","事件",3,0,0,2,0,0,5
"1582","事前",2,0,0,1,2,0,5
"1583","字",1,0,2,2,0,0,5
"1584","次世代",1,0,0,4,0,0,5
"1585","自信",2,0,0,3,0,0,5
"1586","自体",2,0,2,1,0,0,5
"1587","式",3,0,1,1,0,0,5
"1588","主催",2,0,0,2,0,1,5
"1589","主軸",0,0,0,5,0,0,5
"1590","主婦",2,0,0,0,0,3,5
"1591","取り消し",4,0,0,0,0,1,5
"1592","取得",3,0,1,1,0,0,5
"1593","手助け",2,0,2,0,1,0,5
"1594","手法",0,0,0,5,0,0,5
"1595","住まい",0,0,1,0,2,2,5
"1596","十",1,0,2,2,0,0,5
"1597","従来",3,0,0,2,0,0,5
"1598","縦横",5,0,0,0,0,0,5
"1599","塾",0,0,0,5,0,0,5
"1600","出張",3,0,0,0,0,2,5
"1601","除",3,0,0,2,0,0,5
"1602","小学生",0,0,3,2,0,0,5
"1603","焼肉",0,0,0,0,0,5,5
"1604","象限",5,0,0,0,0,0,5
"1605","心配",3,0,2,0,0,0,5
"1606","心理",2,0,0,3,0,0,5
"1607","真",2,0,0,3,0,0,5
"1608","進呈",5,0,0,0,0,0,5
"1609","勢い",1,0,0,4,0,0,5
"1610","星",3,0,0,0,2,0,5
"1611","正式",0,0,0,4,0,1,5
"1612","生命",1,0,0,4,0,0,5
"1613","盛ん",3,0,1,1,0,0,5
"1614","昔",0,0,2,3,0,0,5
"1615","接触",3,0,0,1,0,1,5
"1616","選考",4,0,0,1,0,0,5
"1617","組み合わせ",5,0,0,0,0,0,5
"1618","創成",1,0,4,0,0,0,5
"1619","早期",2,0,0,1,0,2,5
"1620","草取り",0,0,0,5,0,0,5
"1621","側面",2,0,2,0,1,0,5
"1622","速度",2,0,3,0,0,0,5
"1623","打撃",2,0,0,0,0,3,5
"1624","大半",2,0,2,0,1,0,5
"1625","誕生",1,1,0,1,2,0,5
"1626","弾",0,0,0,0,0,5,5
"1627","値",1,0,2,1,0,1,5
"1628","地価",0,0,3,2,0,0,5
"1629","地区",0,2,0,3,0,0,5
"1630","地産",0,0,0,0,5,0,5
"1631","中部",0,0,5,0,0,0,5
"1632","著者",3,0,0,1,1,0,5
"1633","著書",4,0,0,1,0,0,5
"1634","転換",0,0,2,2,1,0,5
"1635","電話",1,0,3,0,0,1,5
"1636","登場",2,1,1,0,1,0,5
"1637","棟",0,0,0,5,0,0,5
"1638","藤本",0,0,0,0,5,0,5
"1639","同様",2,0,0,3,0,0,5
"1640","特",4,0,0,0,1,0,5
"1641","読解",4,0,1,0,0,0,5
"1642","内閣",1,0,3,0,0,1,5
"1643","日吉津",0,0,5,0,0,0,5
"1644","日本一",1,0,0,0,3,1,5
"1645","日本海",0,0,3,0,2,0,5
"1646","入学",1,0,0,4,0,0,5
"1647","年代",4,0,0,0,0,1,5
"1648","廃校",2,0,0,2,1,0,5
"1649","売り上げ",3,0,0,0,0,2,5
"1650","発見",1,0,1,0,2,1,5
"1651","発祥",4,0,0,0,0,1,5
"1652","飯",0,0,0,1,0,4,5
"1653","番目",0,0,5,0,0,0,5
"1654","否定",1,0,0,0,0,4,5
"1655","美食",5,0,0,0,0,0,5
"1656","病気",3,0,0,0,0,2,5
"1657","風景",3,0,1,1,0,0,5
"1658","物価",1,0,0,1,0,3,5
"1659","文献",2,0,0,2,0,1,5
"1660","保障",1,0,3,1,0,0,5
"1661","法定",5,0,0,0,0,0,5
"1662","法律",2,0,0,1,0,2,5
"1663","北栄",1,0,0,0,0,4,5
"1664","毎月",1,0,1,1,2,0,5
"1665","無駄",5,0,0,0,0,0,5
"1666","無理",2,0,0,3,0,0,5
"1667","名和",5,0,0,0,0,0,5
"1668","命",0,0,0,1,4,0,5
"1669","明らか",3,0,1,1,0,0,5
"1670","面接",4,0,0,1,0,0,5
"1671","模索",1,0,0,3,1,0,5
"1672","役場",0,0,0,3,2,0,5
"1673","優秀",1,0,0,4,0,0,5
"1674","郵政",5,0,0,0,0,0,5
"1675","洋",0,0,0,5,0,0,5
"1676","用途",0,0,4,0,1,0,5
"1677","用品",4,0,1,0,0,0,5
"1678","流",4,0,1,0,0,0,5
"1679","流行",0,1,0,2,0,2,5
"1680","歴代",5,0,0,0,0,0,5
"1681","老年",0,0,5,0,0,0,5
"1682","翔",3,0,0,2,0,0,5
"1683","11",0,0,0,0,1,3,4
"1684","2000",1,0,0,0,0,3,4
"1685","2008",1,0,2,0,0,1,4
"1686","38",0,0,3,0,0,1,4
"1687","３月",3,0,0,0,0,1,4
"1688","4000",0,0,0,0,0,4,4
"1689","70",2,0,2,0,0,0,4
"1690","700",0,0,1,1,0,2,4
"1691","Android",4,0,0,0,0,0,4
"1692","COVID",0,0,0,3,0,1,4
"1693","iOS",4,0,0,0,0,0,4
"1694","JOHNNY",0,0,0,0,4,0,4
"1695","KAI",0,0,0,0,0,4,4
"1696","KPI",4,0,0,0,0,0,4
"1697","L",4,0,0,0,0,0,4
"1698","LEGO",0,0,0,4,0,0,4
"1699","Meet",2,0,0,2,0,0,4
"1700","No",0,0,0,4,0,0,4
"1701","NTT",0,0,0,4,0,0,4
"1702","P",0,0,0,4,0,0,4
"1703","ＴＯＲＩＣＯ",0,0,0,0,4,0,4
"1704","UP",4,0,0,0,0,0,4
"1705","アクティビティ",3,0,0,0,0,1,4
"1706","アドバイス",2,0,0,2,0,0,4
"1707","アピール",4,0,0,0,0,0,4
"1708","アルコール",3,0,0,0,0,1,4
"1709","インプット",4,0,0,0,0,0,4
"1710","エンジニア",3,0,0,1,0,0,4
"1711","オリンピック",1,0,1,0,0,2,4
"1712","お子さん",2,0,0,1,0,1,4
"1713","お世話",1,0,0,3,0,0,4
"1714","かなり",0,0,2,2,0,0,4
"1715","カバー",1,0,0,3,0,0,4
"1716","カヤック",0,0,0,0,0,4,4
"1717","カラオケ",0,0,0,1,0,3,4
"1718","クラス",0,0,0,0,1,3,4
"1719","クリエイティビティ",0,0,0,4,0,0,4
"1720","グローバル",0,0,0,4,0,0,4
"1721","ケア",1,0,0,3,0,0,4
"1722","ケーブル",0,0,0,0,4,0,4
"1723","コーディネーター",0,0,0,4,0,0,4
"1724","ごちそう",4,0,0,0,0,0,4
"1725","コンサルタント",0,0,0,2,1,1,4
"1726","サンド",0,0,0,0,0,4,4
"1727","ジョブ",0,0,0,4,0,0,4
"1728","す",1,0,0,0,0,3,4
"1729","スタンス",2,0,0,2,0,0,4
"1730","タイミング",2,0,0,1,1,0,4
"1731","ダウン",2,0,0,2,0,0,4
"1732","タスク",3,0,0,1,0,0,4
"1733","デカ",0,0,0,4,0,0,4
"1734","テクノロジー",1,0,0,3,0,0,4
"1735","とも",1,0,0,2,0,1,4
"1736","なに",2,0,1,1,0,0,4
"1737","ネタ",4,0,0,0,0,0,4
"1738","ハードウェア",4,0,0,0,0,0,4
"1739","ハードル",1,0,0,0,1,2,4
"1740","バウンド",4,0,0,0,0,0,4
"1741","パソコン",3,0,1,0,0,0,4
"1742","パフォーマンス",1,0,0,3,0,0,4
"1743","ピース",0,0,0,4,0,0,4
"1744","ピックアップ",3,0,0,0,0,1,4
"1745","フード",0,0,0,0,4,0,4
"1746","フェーズ",1,0,0,3,0,0,4
"1747","フォト",4,0,0,0,0,0,4
"1748","ふち",0,0,0,0,0,4,4
"1749","ブランド",2,0,0,0,2,0,4
"1750","プレゼント",3,0,0,1,0,0,4
"1751","ペイ",4,0,0,0,0,0,4
"1752","ほうき",4,0,0,0,0,0,4
"1753","ボーナス",3,0,0,1,0,0,4
"1754","ホテル",2,0,0,0,0,2,4
"1755","ポテンシャル",0,0,0,4,0,0,4
"1756","マニュアル",4,0,0,0,0,0,4
"1757","マネージャー",2,0,0,1,1,0,4
"1758","マネジメント",2,0,0,2,0,0,4
"1759","ミーティング",4,0,0,0,0,0,4
"1760","みたい",0,0,0,3,1,0,4
"1761","メロン",0,0,0,4,0,0,4
"1762","モニタリング",4,0,0,0,0,0,4
"1763","やる気",1,0,0,3,0,0,4
"1764","ら",1,0,2,0,1,0,4
"1765","らい",0,0,0,0,0,4,4
"1766","ライフスタイル",1,0,0,3,0,0,4
"1767","リアリティ",0,0,0,4,0,0,4
"1768","リスト",2,0,0,2,0,0,4
"1769","案件",2,0,0,0,0,2,4
"1770","以後",1,0,0,1,2,0,4
"1771","以内",1,0,0,0,0,3,4
"1772","移",0,0,0,0,0,4,4
"1773","一人暮らし",4,0,0,0,0,0,4
"1774","一生",0,0,0,4,0,0,4
"1775","印刷",1,0,0,3,0,0,4
"1776","引き上げ",0,0,0,0,0,4,4
"1777","運賃",4,0,0,0,0,0,4
"1778","駅前",2,0,0,1,0,1,4
"1779","延長",1,0,0,3,0,0,4
"1780","遠い",2,0,0,0,0,2,4
"1781","恩恵",3,0,0,0,0,1,4
"1782","何かしら",2,0,0,1,1,0,4
"1783","夏休み",0,0,0,2,0,2,4
"1784","家賃",4,0,0,0,0,0,4
"1785","花",4,0,0,0,0,0,4
"1786","過剰",1,0,1,2,0,0,4
"1787","過程",1,0,0,0,2,1,4
"1788","画面",3,0,0,1,0,0,4
"1789","快適",1,0,0,1,2,0,4
"1790","外食",2,0,0,0,2,0,4
"1791","拡",4,0,0,0,0,0,4
"1792","確か",1,0,0,1,0,2,4
"1793","楽しみ",1,0,0,3,0,0,4
"1794","完成",0,0,0,4,0,0,4
"1795","緩和",3,0,0,1,0,0,4
"1796","関",1,0,0,3,0,0,4
"1797","危険",2,0,0,1,1,0,4
"1798","基礎",0,0,1,2,0,1,4
"1799","機器",3,0,0,1,0,0,4
"1800","貴重",0,0,0,2,1,1,4
"1801","起点",0,0,0,4,0,0,4
"1802","休業",4,0,0,0,0,0,4
"1803","宮崎",3,0,1,0,0,0,4
"1804","給付",1,0,0,0,0,3,4
"1805","牛",0,0,0,0,0,4,4
"1806","供給",1,0,2,0,1,0,4
"1807","強制",0,0,0,4,0,0,4
"1808","教室",0,0,0,4,0,0,4
"1809","興味深い",1,0,2,0,0,1,4
"1810","玉ねぎ",4,0,0,0,0,0,4
"1811","筋肉",4,0,0,0,0,0,4
"1812","近所",0,0,0,4,0,0,4
"1813","近隣",2,0,0,1,0,1,4
"1814","具合",1,0,0,0,2,1,4
"1815","群",1,0,1,2,0,0,4
"1816","郡",2,0,0,0,2,0,4
"1817","形態",2,0,1,0,1,0,4
"1818","経緯",0,0,0,3,0,1,4
"1819","計上",1,0,0,2,0,1,4
"1820","激しい",2,0,0,2,0,0,4
"1821","結局",1,0,0,3,0,0,4
"1822","結合",4,0,0,0,0,0,4
"1823","検査",0,0,1,1,1,1,4
"1824","権利",4,0,0,0,0,0,4
"1825","見込み",1,0,0,1,0,2,4
"1826","見直し",3,0,0,1,0,0,4
"1827","鍵",2,0,0,2,0,0,4
"1828","顕著",1,0,1,1,0,1,4
"1829","元気",1,0,0,0,2,1,4
"1830","原則",1,0,1,2,0,0,4
"1831","現役",0,0,0,4,0,0,4
"1832","限界",1,0,0,3,0,0,4
"1833","呼吸",1,0,0,1,0,2,4
"1834","五",2,0,0,0,2,0,4
"1835","娯楽",1,0,2,0,0,1,4
"1836","後回し",3,0,1,0,0,0,4
"1837","交通省",1,0,3,0,0,0,4
"1838","光景",0,0,0,4,0,0,4
"1839","公表",0,0,0,3,1,0,4
"1840","工程",4,0,0,0,0,0,4
"1841","控えめ",0,0,0,0,0,4,4
"1842","更新",0,0,2,0,1,1,4
"1843","航空",4,0,0,0,0,0,4
"1844","行い",2,0,0,0,2,0,4
"1845","高度",2,1,0,1,0,0,4
"1846","合",4,0,0,0,0,0,4
"1847","合理",1,1,0,2,0,0,4
"1848","国土",1,0,3,0,0,0,4
"1849","骨",0,0,0,0,1,3,4
"1850","左右",2,0,1,1,0,0,4
"1851","再編",0,0,0,4,0,0,4
"1852","最少",0,0,3,1,0,0,4
"1853","災害",3,0,1,0,0,0,4
"1854","在宅",0,0,1,3,0,0,4
"1855","財産",1,0,0,2,1,0,4
"1856","桜",0,0,0,0,2,2,4
"1857","参照",0,0,0,4,0,0,4
"1858","散歩",3,0,0,1,0,0,4
"1859","子会社",4,0,0,0,0,0,4
"1860","指数",0,0,4,0,0,0,4
"1861","資格",3,0,0,1,0,0,4
"1862","歯止め",0,0,3,1,0,0,4
"1863","事故",2,0,1,0,0,1,4
"1864","児",1,0,0,0,0,3,4
"1865","児童",1,0,1,0,0,2,4
"1866","持続",1,0,0,3,0,0,4
"1867","次第",0,0,0,1,0,3,4
"1868","自立",4,0,0,0,0,0,4
"1869","失敗",0,0,0,4,0,0,4
"1870","実質",0,0,0,2,0,2,4
"1871","主要",0,0,1,1,0,2,4
"1872","受賞",1,0,0,3,0,0,4
"1873","受診",0,0,0,4,0,0,4
"1874","就業",0,0,3,1,0,0,4
"1875","秋田",0,0,2,0,0,2,4
"1876","集落",0,0,0,4,0,0,4
"1877","縦",4,0,0,0,0,0,4
"1878","縮小",2,0,1,1,0,0,4
"1879","出産",1,0,1,1,0,1,4
"1880","出生",0,0,0,3,0,1,4
"1881","助け",1,0,0,2,0,1,4
"1882","勝手",3,0,0,1,0,0,4
"1883","将",0,0,0,4,0,0,4
"1884","常識",4,0,0,0,0,0,4
"1885","条",3,0,0,0,0,1,4
"1886","職員",2,0,0,1,1,0,4
"1887","職種",0,0,0,3,0,1,4
"1888","色々",2,0,2,0,0,0,4
"1889","伸び",2,0,2,0,0,0,4
"1890","心地",3,0,0,1,0,0,4
"1891","森",0,0,0,0,0,4,4
"1892","人事",4,0,0,0,0,0,4
"1893","人達",3,0,0,1,0,0,4
"1894","迅速",4,0,0,0,0,0,4
"1895","数々",2,0,0,2,0,0,4
"1896","数多い",3,0,0,0,1,0,4
"1897","凄い",1,0,0,1,0,2,4
"1898","成り行き",0,0,0,4,0,0,4
"1899","生まれ",0,0,0,2,1,1,4
"1900","生粋",1,0,0,3,0,0,4
"1901","精神",2,0,0,2,0,0,4
"1902","石破",4,0,0,0,0,0,4
"1903","先ほど",0,0,1,3,0,0,4
"1904","先輩",1,0,0,3,0,0,4
"1905","専業",1,0,0,0,0,3,4
"1906","潜在",1,0,0,3,0,0,4
"1907","素晴らしい",1,0,0,2,1,0,4
"1908","操縦",4,0,0,0,0,0,4
"1909","体",3,0,0,1,0,0,4
"1910","体温",1,0,0,0,2,1,4
"1911","体調",2,0,0,1,1,0,4
"1912","対処",0,0,0,4,0,0,4
"1913","退職",0,0,0,3,0,1,4
"1914","大会",0,0,0,4,0,0,4
"1915","大丈夫",4,0,0,0,0,0,4
"1916","単純",3,0,0,0,1,0,4
"1917","担保",2,0,2,0,0,0,4
"1918","男女",0,0,1,3,0,0,4
"1919","知名度",2,0,2,0,0,0,4
"1920","地銀",0,0,0,0,0,4,4
"1921","地図",4,0,0,0,0,0,4
"1922","地中海",1,0,0,3,0,0,4
"1923","智頭",1,0,1,0,0,2,4
"1924","着目",2,0,2,0,0,0,4
"1925","中学生",0,0,1,2,1,0,4
"1926","中間",2,0,1,1,0,0,4
"1927","注力",3,0,0,0,1,0,4
"1928","長野",1,0,0,0,0,3,4
"1929","珍しい",1,0,1,2,0,0,4
"1930","定性",3,0,1,0,0,0,4
"1931","鉄則",4,0,0,0,0,0,4
"1932","鉄道",1,0,0,3,0,0,4
"1933","土産",1,0,0,0,2,1,4
"1934","土台",0,0,1,3,0,0,4
"1935","働き手",0,0,4,0,0,0,4
"1936","同期",0,0,1,3,0,0,4
"1937","特殊",0,0,0,3,0,1,4
"1938","謎",2,0,0,2,0,0,4
"1939","難",1,0,1,0,2,0,4
"1940","認定",2,0,0,0,0,2,4
"1941","年金",1,0,3,0,0,0,4
"1942","納税",4,0,0,0,0,0,4
"1943","納涼",0,0,0,4,0,0,4
"1944","抜粋",0,0,0,4,0,0,4
"1945","半額",0,0,0,0,0,4,4
"1946","半数",0,0,2,1,1,0,4
"1947","反映",0,0,0,3,0,1,4
"1948","批判",1,0,0,3,0,0,4
"1949","飛行",4,0,0,0,0,0,4
"1950","病床",0,0,0,1,0,3,4
"1951","付け",2,0,0,2,0,0,4
"1952","婦",0,0,0,4,0,0,4
"1953","武器",2,0,0,0,2,0,4
"1954","部屋",2,0,1,0,0,1,4
"1955","部活",0,0,0,4,0,0,4
"1956","部長",0,0,0,3,1,0,4
"1957","物件",4,0,0,0,0,0,4
"1958","文",4,0,0,0,0,0,4
"1959","文字",2,0,1,1,0,0,4
"1960","閉鎖",0,0,0,1,0,3,4
"1961","保育園",0,0,0,2,0,2,4
"1962","補充",0,0,0,4,0,0,4
"1963","崩壊",0,0,1,2,0,1,4
"1964","方針",1,0,0,3,0,0,4
"1965","豊富",4,0,0,0,0,0,4
"1966","棒グラフ",4,0,0,0,0,0,4
"1967","本来",3,0,0,1,0,0,4
"1968","翻訳",4,0,0,0,0,0,4
"1969","魅",3,0,1,0,0,0,4
"1970","密集",1,0,2,0,0,1,4
"1971","目安",0,0,0,0,0,4,4
"1972","夜",2,0,0,2,0,0,4
"1973","友達",0,0,0,3,0,1,4
"1974","有識者",0,0,1,0,2,1,4
"1975","有利",2,0,1,0,0,1,4
"1976","用",4,0,0,0,0,0,4
"1977","来店",3,0,0,0,0,1,4
"1978","立国",4,0,0,0,0,0,4
"1979","了承",1,0,2,0,0,1,4
"1980","力也",0,0,0,4,0,0,4
"1981","列車",2,0,0,2,0,0,4
"1982","連載",0,3,0,1,0,0,4
"1983","論",1,0,0,3,0,0,4
"1984","籠谷",4,0,0,0,0,0,4
"1985","贅沢",0,0,0,0,3,1,4
"1986","150",1,0,0,1,1,0,3
"1987","1564",0,0,3,0,0,0,3
"1988","1990",1,0,0,0,0,2,3
"1989","2021",2,0,0,0,0,1,3
"1990","2040",0,0,3,0,0,0,3
"1991","33",0,0,1,0,0,2,3
"1992","340",2,0,1,0,0,0,3
"1993","37",0,0,0,2,0,1,3
"1994","41",0,0,2,0,0,1,3
"1995","４つ",2,0,0,1,0,0,3
"1996","56",2,0,1,0,0,0,3
"1997","600",2,0,0,1,0,0,3
"1998","779",0,0,0,3,0,0,3
"1999","90",1,0,2,0,0,0,3
"2000","Amazon",3,0,0,0,0,0,3
"2001","au",3,0,0,0,0,0,3
"2002","CANPAN",0,0,0,3,0,0,3
"2003","CSR",0,0,0,3,0,0,3
"2004","D",0,1,0,2,0,0,3
"2005","FAX",3,0,0,0,0,0,3
"2006","G",2,0,0,1,0,0,3
"2007","㎏",0,0,0,0,1,2,3
"2008","m",1,0,0,0,0,2,3
"2009","mm",0,0,3,0,0,0,3
"2010","N",0,0,0,3,0,0,3
"2011","O",0,0,0,2,1,0,3
"2012","PC",0,0,1,2,0,0,3
"2013","PlayApp",0,0,0,3,0,0,3
"2014","POS",0,0,3,0,0,0,3
"2015","Store",0,0,0,3,0,0,3
"2016","SUP",0,0,0,0,0,3,3
"2017","URL",2,0,0,0,1,0,3
"2018","web",2,0,1,0,0,0,3
"2019","ＷＥＢ",3,0,0,0,0,0,3
"2020","WeLove",0,0,0,0,0,3,3
"2021","アカウント",2,0,0,0,0,1,3
"2022","アジア",0,0,0,3,0,0,3
"2023","アスレチック",0,0,0,0,0,3,3
"2024","いか",3,0,0,0,0,0,3
"2025","イギリス",0,0,1,2,0,0,3
"2026","イシュー",2,0,0,1,0,0,3
"2027","いま",0,0,0,3,0,0,3
"2028","インセンティブ",2,0,0,1,0,0,3
"2029","エネルギー",2,0,0,1,0,0,3
"2030","エリア",0,0,0,1,2,0,3
"2031","エレクトロニクス",3,0,0,0,0,0,3
"2032","エンゲージメント",2,0,0,1,0,0,3
"2033","エンターテインメント",0,0,0,0,0,3,3
"2034","おかしい",2,0,1,0,0,0,3
"2035","おもちゃ",0,0,0,3,0,0,3
"2036","お越し",1,0,0,2,0,0,3
"2037","お家",3,0,0,0,0,0,3
"2038","お過ごし",3,0,0,0,0,0,3
"2039","ガイド",3,0,0,0,0,0,3
"2040","ガソリン",2,0,0,1,0,0,3
"2041","カンパン",0,0,0,3,0,0,3
"2042","カ月",2,0,0,1,0,0,3
"2043","キーワード",2,0,0,1,0,0,3
"2044","きだ",0,0,0,3,0,0,3
"2045","キッカケ",3,0,0,0,0,0,3
"2046","くら",0,0,0,0,0,3,3
"2047","クラウドファンディング",0,0,0,0,2,1,3
"2048","ヶ月",2,0,0,1,0,0,3
"2049","コシヒカリ",0,0,0,0,0,3,3
"2050","こだわり",2,0,0,1,0,0,3
"2051","こども",0,0,2,0,0,1,3
"2052","コラム",0,0,0,3,0,0,3
"2053","ころ",1,0,0,2,0,0,3
"2054","ごろ",2,0,0,1,0,0,3
"2055","コンビニエンスストア",0,0,0,0,0,3,3
"2056","サイド",0,0,0,1,0,2,3
"2057","さとい",0,0,0,3,0,0,3
"2058","シーズン",0,0,1,1,1,0,3
"2059","シェアリング",0,0,0,3,0,0,3
"2060","しま",0,0,2,0,0,1,3
"2061","ジャンル",0,0,3,0,0,0,3
"2062","すぎ",3,0,0,0,0,0,3
"2063","スター",0,0,0,1,2,0,3
"2064","ストーリー",0,0,0,3,0,0,3
"2065","スナバ",1,0,1,0,0,1,3
"2066","スマ",0,0,0,3,0,0,3
"2067","セキュリティ",2,0,0,1,0,0,3
"2068","セルフ",3,0,0,0,0,0,3
"2069","ソーシャル",0,0,0,3,0,0,3
"2070","ソニー",3,0,0,0,0,0,3
"2071","そのもの",2,0,0,1,0,0,3
"2072","ダイレクト",2,0,0,1,0,0,3
"2073","タグ",3,0,0,0,0,0,3
"2074","だこ",0,0,0,0,0,3,3
"2075","ダジャレ",0,0,0,0,0,3,3
"2076","ただ",3,0,0,0,0,0,3
"2077","タニタ",0,0,0,3,0,0,3
"2078","タンパク",3,0,0,0,0,0,3
"2079","チームリーダー",0,0,0,3,0,0,3
"2080","ちよ",0,0,0,0,0,3,3
"2081","つまり",0,0,0,3,0,0,3
"2082","デスク",2,0,0,1,0,0,3
"2083","テスト",1,0,0,2,0,0,3
"2084","トク",2,0,0,0,0,1,3
"2085","トヨタ",2,0,0,1,0,0,3
"2086","ドライバー",2,0,0,1,0,0,3
"2087","トラック",0,0,0,0,3,0,3
"2088","トリ",2,0,1,0,0,0,3
"2089","ネイティブ",3,0,0,0,0,0,3
"2090","ネガティブ",1,0,1,1,0,0,3
"2091","ねこ",0,0,0,0,0,3,3
"2092","ネットワーク",1,0,0,2,0,0,3
"2093","バランス",0,0,2,1,0,0,3
"2094","ピーク",0,0,3,0,0,0,3
"2095","ブーム",2,0,0,1,0,0,3
"2096","フランス",1,0,0,2,0,0,3
"2097","フレーズ",1,0,2,0,0,0,3
"2098","プロ",2,0,0,1,0,0,3
