"","business.txt","culture.txt","datademirutottori.txt","opinion.txt","press_release.txt","public.txt"
"キッカケ",3,0,0,0,0,0
"きっかけ",8,0,3,11,1,0
"きやすい",1,0,0,0,0,0
"キャッシュ",48,0,0,0,0,1
"キャッシュレス",5,0,0,0,0,0
"キャッシュレスサービス",1,0,0,0,0,0
"キャッチ",0,0,0,2,3,2
"キャッチコピー",0,0,0,0,0,1
"ギャップ",0,0,0,2,0,0
"キャパ",2,0,0,0,0,0
"キャパシティ",1,0,0,0,0,0
"キャベツ",1,0,0,0,0,0
"キャラ",1,0,0,0,0,0
"キャラクター",1,0,0,0,0,0
"キャリア",1,0,0,5,0,0
"キャンセル",1,0,0,1,3,0
"キャンパス",0,0,0,1,0,1
"キャンペーン",14,0,0,0,0,22
"キュウリ",0,0,0,1,0,0
"キラー",0,0,0,1,1,0
"きり",0,0,1,0,0,0
"ギリギリ",1,0,0,0,0,0
"キリロム",0,0,0,1,0,0
"キロ",0,0,0,0,1,0
"くい",0,0,0,0,1,0
"クーポン",2,0,0,0,0,5
"クオリティー",1,0,0,0,0,0
"クス",0,0,0,0,0,1
"クラ",0,0,0,1,0,0
"くら",0,0,0,0,0,3
"クライアント",2,0,0,0,0,0
"クラウドファンディング",0,0,0,0,2,1
"クラウンプラザホテル",0,0,0,0,0,1
"ぐらし",0,0,1,0,0,0
"クラシック",1,0,1,0,0,0
"クラス",0,0,0,0,1,3
"グラス",0,0,0,0,0,1
"グラットン",0,0,0,1,0,0
"クラブ",1,0,1,0,0,0
"グラフ",23,0,34,0,4,3
"グラフタイプグラフタイプ",1,0,0,0,0,0
"グランド",0,0,0,1,0,0
"クリア",1,0,0,0,1,0
"クリエィティビティ",0,0,0,1,0,0
"クリエイティビティ",0,0,0,4,0,0
"クリエイティブ",1,0,0,10,3,0
"クルージング",0,0,0,0,0,1
"クルーズ",1,0,0,0,0,0
"グループ",9,0,0,2,0,1
"グルメ",1,0,0,0,0,0
"クレーム",2,0,0,0,0,0
"クレジット",2,0,0,0,0,0
"クレジットカード",7,0,0,0,0,0
"グロ",0,0,0,1,0,0
"グローバル",0,0,0,4,0,0
"くん",0,0,0,2,0,0
"ケア",1,0,0,3,0,0
"ケース",2,0,0,5,0,1
"ケーブル",0,0,0,0,4,0
"ゲーム",1,0,0,4,0,1
"ケガ",1,0,0,0,0,0
"ゲゲゲ",0,0,1,0,0,0
"ゲット",1,0,0,0,0,0
"ケン",0,0,0,1,0,0
"ヶ月",2,0,0,1,0,0
"こいつ",0,0,0,1,0,0
"ゴーグル",0,0,0,1,0,0
"コース",2,0,0,5,0,11
"コーディネーター",0,0,0,4,0,0
"コーディネート",0,0,0,2,0,0
"コード",15,0,0,0,0,0
"コーナー",2,0,0,0,0,0
"コール",7,0,0,0,0,0
"ゴール",1,0,0,1,0,0
"ここ",23,0,11,16,5,11
"コシヒカリ",0,0,0,0,0,3
"コスト",8,0,2,6,0,0
"こだわり",2,0,0,1,0,0
"ごちそう",4,0,0,0,0,0
"こちら",9,0,4,4,1,28
"コッシーナ",2,0,0,0,0,0
"コト",0,0,1,0,0,0
"こと",518,2,217,341,42,141
"ごと",6,0,13,5,1,6
"こども",0,0,2,0,0,1
"コナン",0,0,1,0,0,0
"この間",0,0,0,1,0,0
"ごはん",2,0,0,0,0,0
"コピー",0,0,0,0,3,2
"こまめ",0,0,0,0,0,2
"ゴミ",0,0,0,1,0,0
"コミック",0,0,1,0,0,0
"コミット",1,0,0,0,0,0
"コミュニケーション",5,0,0,7,1,0
"コミュニケーター",1,0,0,0,0,0
"コミュニティ",3,0,0,5,0,0
"コメント",1,0,0,0,0,22
"コモディティ",0,1,0,0,0,0
"こよない",0,0,0,1,0,0
"コラボ",8,0,0,0,2,0
"コラボレーション",0,0,0,0,1,0
"コラム",0,0,0,3,0,0
"ゴルフ",1,0,0,0,0,0
"これ",48,0,11,41,8,7
"コレラ",0,0,0,1,0,0
"これら",13,0,4,14,0,7
"ころ",1,0,0,2,0,0
"ごろ",2,0,0,1,0,0
"コロナ",55,0,29,47,13,71
"コロナウイルスショック",0,0,0,1,0,0
"コンサルタント",0,0,0,2,1,1
"コンサルティング",0,0,0,0,1,0
"コンスタンティノープル",0,0,0,1,0,0
"コンセプト",1,0,0,1,0,0
"コンタクト",1,0,0,1,0,0
"コンテンツ",5,0,1,1,4,0
"コンビニ",3,0,0,1,1,1
"コンビニエンスストア",0,0,0,0,0,3
"コンピューター",0,0,6,0,0,0
"ご存じ",2,0,4,0,0,0
"ご存知",7,0,4,3,1,3
"ご飯",0,0,0,0,0,1
"ご覧",9,0,5,1,1,3
"さ",36,0,17,14,3,11
"ザ",1,0,0,1,0,0
"サーカス",0,0,0,1,0,0
"サージカルマスク",1,0,0,0,0,0
"サーバー",0,0,0,1,0,0
"サービス",31,0,8,14,0,5
"サイクル",0,0,0,2,0,0
"サイズ",6,0,0,1,0,1
"サイゼリア",0,0,0,0,0,2
"サイト",10,0,5,4,8,6
"サイド",0,0,0,1,0,2
"サイトデザインリニューアル",0,0,0,0,1,0
"サウナ",0,0,0,1,0,0
"サテライト",0,0,0,0,1,0
"さとい",0,0,0,3,0,0
"サポート",2,0,0,4,1,1
"サラダ",0,0,0,0,0,1
"サラリーマン",0,0,0,1,0,0
"さわり",1,0,0,0,0,0
"さん",59,7,1,18,5,1
"サンセバスチャン",9,0,0,0,0,0
"サンド",0,0,0,0,0,4
"サンプル",0,0,0,0,0,1
"シーズン",0,0,1,1,1,0
"シート",1,0,0,0,0,4
"シームレス",0,0,0,1,0,0
"シーン",5,0,0,3,0,0
"シェア",1,0,0,4,0,0
"シェアリング",0,0,0,3,0,0
"ジェネレーション",1,0,0,0,0,0
"シェフ",1,0,0,0,0,0
"ジオパーク",0,0,1,0,0,1
"しげる",0,0,0,0,0,1
"しこう",0,0,0,1,0,0
"システム",13,0,1,16,0,0
"しっぽ",1,0,0,0,0,0
"しなやか",0,0,0,5,0,0
"シニア",1,0,0,0,0,0
"しのぎ",0,0,0,1,0,0
"ジビエ",0,0,0,0,2,0
"シフト",4,0,0,4,0,0
"ジブラルタ",0,0,0,1,0,0
"しま",0,0,2,0,0,1
"しまむら",1,0,0,0,0,0
"シャッター",12,0,0,0,0,0
"ジャパン",0,0,0,1,0,0
"シャワー",0,0,0,0,0,1
"ジャンル",0,0,3,0,0,0
"ジョイフル",0,0,0,0,0,1
"しょうが",1,0,0,1,0,0
"ショートステイ",0,0,0,0,0,1
"ショールーム",1,0,0,0,0,0
"ジョギング",0,0,0,0,0,1
"ショック",0,0,2,0,0,3
"ジョブ",0,0,0,4,0,0
"ジョブズ",0,0,0,1,0,0
"シリーズ",5,0,0,1,0,0
"シリコンバレー",1,0,0,0,0,0
"ジレンマ",0,0,0,0,0,5
"シンクタンク",0,0,0,1,0,0
"しんどい",1,0,0,0,0,0
"シンプル",3,0,0,2,0,0
"す",1,0,0,0,0,3
"スイーツ",0,0,0,0,0,1
"スイカ",2,0,0,0,0,0
"スイス",0,0,0,1,0,0
"スイッチ",1,0,0,1,0,0
"スーパー",4,0,0,2,0,0
"スープ",0,0,0,0,2,0
"すぎ",3,0,0,0,0,0
"スキル",5,0,0,8,2,0
"スクープ",0,0,0,0,1,0
"スクール",0,0,0,1,0,0
"スクラム",0,0,0,1,0,0
"スクリーン",0,0,0,1,0,0
"スケール",0,0,0,0,1,0
"スケジュール",0,0,0,0,1,0
"すごい",6,0,0,0,0,1
"すし",0,0,0,0,0,2
"スシロー",1,0,0,0,0,0
"スター",0,0,0,1,2,0
"スタート",1,0,0,3,3,0
"スターバックスコース",0,0,0,0,0,1
"スターバックスコーヒー",0,0,0,0,0,2
"スタイル",5,0,0,9,2,0
"スタイルテレワーク",0,0,0,0,0,1
"スタジオ",0,0,0,0,1,0
"スタジオジブリ",1,0,0,0,0,0
"スタッフ",5,0,0,4,0,0
"スタディ",0,0,0,1,0,0
"スタディーツアー",0,0,0,1,0,0
"スタディサプリ",0,0,0,2,0,0
"スタバ",1,0,3,0,0,2
"スタンス",2,0,0,2,0,0
"スタンダート",1,0,0,0,0,0
"スタンディングデスク",9,0,0,0,0,0
"スティーブ",0,0,0,1,0,0
"スティグマ",6,0,0,0,0,0
"ステイホーム",2,0,0,0,0,0
"ステージ",0,0,1,1,0,0
"ステップ",1,0,0,0,0,0
"ステレオ",0,0,0,1,0,0
"ストーリー",0,0,0,3,0,0
"ストップ",2,0,0,0,0,0
"ストレート",1,0,0,0,0,0
"ストレス",5,0,2,0,0,1
"スナック",1,0,0,0,0,0
"スナバ",1,0,1,0,0,1
"スパイラル",0,0,6,0,0,0
"スパン",1,0,0,0,0,0
"スピーディー",1,0,0,0,0,0
"スピード",5,0,1,2,0,1
"スペイン",5,0,0,1,0,0
"スペース",5,0,0,1,5,1
"スペシャリスト",0,0,0,1,0,0
"すべて",4,0,5,0,1,1
"スポーツ",3,0,0,2,0,4
"スポット",1,0,0,0,0,0
"スマ",0,0,0,3,0,0
"スマート",1,0,30,1,0,0
"スマートフォンアプリ",1,0,0,0,0,0
"スマホ",4,0,0,3,0,0
"スマホネイティブ",1,0,0,0,0,0
"スムーズ",4,0,0,2,0,0
"スライド",0,0,0,1,0,0
"スラム",0,0,0,2,0,0
"ズレ",0,0,0,2,0,0
"すれ違い",0,0,0,1,0,0
"スローガン",1,0,0,1,0,0
"ズワイガニ",0,0,0,0,2,0
"セーフティー",0,0,0,0,0,1
"セキュリティ",2,0,0,1,0,0
"セット",3,0,0,5,1,5
"ゼネラリスト",0,0,0,1,0,0
"セブン",0,0,0,0,0,2
"セミナー",1,0,0,0,0,0
"セルフ",3,0,0,0,0,0
"ゼロ",2,0,0,0,4,1
"センサー",1,0,0,0,0,0
"センス",0,0,0,1,0,0
"センター",18,0,0,0,0,3
"そう",17,0,4,3,4,8
"ソウル",0,0,0,0,0,1
"ソーシャル",0,0,0,3,0,0
"ソーシャルメディア",0,0,0,1,0,0
"ソース",1,0,0,0,0,0
"ゾーン",1,0,0,0,1,0
"そこ",9,1,2,10,1,0
"そちら",2,0,0,0,0,0
"ソニー",3,0,0,0,0,0
"そのもの",2,0,0,1,0,0
"その間",0,0,0,1,0,0
"その後",3,0,0,7,1,0
"その他",7,0,2,0,0,2
"そば",0,0,0,1,0,0
"ソフトウェア",1,0,0,1,0,0
"ソフトクリーム",0,0,0,0,0,1
"ソフトハウス",0,0,0,1,0,0
"ソフトバンク",0,0,1,0,0,0
"ソフトバンクアカデミア",0,0,0,0,1,0
"そもそも",0,0,1,1,0,0
"それ",36,1,13,33,8,8
"それぞれ",18,1,4,8,0,4
"それら",2,0,0,6,1,0
"ターゲット",0,0,1,0,0,0
"ターン",0,0,3,8,0,2
"タイ",2,0,0,0,0,0
"タイトル",2,0,1,2,0,0
"ダイナミック",0,0,0,0,1,0
"タイプ",23,0,0,1,0,1
"タイミング",2,0,0,1,1,0
"タイム",0,0,0,1,0,0
"ダイヤ",0,0,0,1,0,0
"ダイレクト",2,0,0,1,0,0
"ダウン",2,0,0,2,0,0
"ダウンサイジング",0,0,0,1,0,0
"タク",8,0,0,0,0,0
"タグ",3,0,0,0,0,0
"たくさん",17,0,9,5,3,7
"タクシー",17,0,0,1,0,0
"だこ",0,0,0,0,0,3
"たこ焼き",0,0,0,0,0,1
"ダジャレ",0,0,0,0,0,3
"タスク",3,0,0,1,0,0
"ただ",3,0,0,0,0,0
"ただ中",1,0,0,0,0,0
"たち",53,0,17,59,10,16
"たっぷり",0,0,0,0,1,0
"タニタ",0,0,0,3,0,0
"タニタインパクト",0,0,0,1,0,0
"たばこ",10,0,0,0,0,0
"たび",1,0,0,0,0,0
"ダブル",0,0,0,1,0,0
"タブレット",0,0,0,2,0,0
"たまらない",0,0,0,1,0,0
"ため",100,0,30,63,12,44
"ダメ",1,0,0,1,0,0
"ダメージ",2,0,0,0,0,0
"たやすい",1,0,0,0,0,0
"たゆい",2,0,0,0,0,0
"だれ",1,0,0,0,0,0
"ダンテ",0,0,0,1,0,0
"タンパク",3,0,0,0,0,0
"チーズ",2,0,0,0,0,0
"チーム",2,0,1,6,6,1
"チームリーダー",0,0,0,3,0,0
"チェーン",1,0,0,1,0,16
"チェック",12,0,2,0,0,2
"チェックポイント",1,0,0,0,0,0
"ちか",1,0,0,0,0,0
"ちく",0,0,0,0,0,2
"チケット",0,0,1,0,0,5
"チャージ",6,0,0,0,0,0
"チャールズ",0,0,0,1,0,0
"チャット",11,0,0,0,0,0
"チャットツールビジネスツール",1,0,0,0,0,0
"チャレンジ",0,0,0,3,0,2
"チャン",0,0,0,0,7,0
"チャンス",3,0,0,1,1,0
"チャンネル",2,0,0,0,0,0
"ちよ",0,0,0,0,0,3
"チラシ",1,0,0,0,0,4
"ツ",1,0,0,0,0,0
"ツアー",0,0,0,2,0,3
"ツイート",2,0,0,0,0,0
"ついで",1,0,0,0,1,0
"ツーウェイコンタクト",11,0,0,0,0,0
"ツール",25,0,1,13,0,0
"つき",1,0,0,0,0,0
"つぎ",0,1,0,0,0,0
"づくし",1,0,0,0,0,0
"づくり",12,4,8,4,4,1
"つけ",2,0,0,0,0,0
"つつましい",1,0,0,0,0,0
"つづり",0,0,0,0,0,1
"つながり",1,0,0,3,1,0
"っぱなし",1,0,0,0,0,0
"つまり",0,0,0,3,0,0
"づまり",0,0,0,0,0,1
"つもり",0,0,0,1,0,0
"づらい",2,0,0,4,0,1
"ツリー",1,0,0,0,0,0
"っ子",0,0,0,7,0,0
"ディープ",1,0,0,0,0,0
"テイクアウト",4,0,0,0,0,3
"デイリー",0,0,0,0,0,1
"デイリーヤマザキ",0,0,0,0,0,1
"データ",29,0,57,3,1,5
"テーブル",1,0,0,0,0,0
"テーマ",3,0,0,4,1,1
"デカ",0,0,0,4,0,0
"テクノロジー",1,0,0,3,0,0
"デザート",0,0,0,0,0,1
"デザイン",14,0,1,9,1,0
"デジタル",4,0,5,1,0,0
"デジタルアプリ",0,0,0,1,0,0
"デジタルトランスフォーメーション",1,0,0,0,0,0
"デスク",2,0,0,1,0,0
"テスト",1,0,0,2,0,0
"デストピア",0,0,0,1,0,0
"テナント",1,0,0,0,0,0
"デパート",2,0,0,0,0,0
"デバイス",1,0,0,0,0,0
"デビット",1,0,0,0,0,0
"デメリット",10,0,4,3,0,5
"デリバリー",0,0,0,0,0,2
"テレ",6,0,6,2,0,1
"テレビ",5,0,0,0,8,0
"テレビ局",0,0,0,0,1,0
"テレワーク",4,0,13,2,0,2
"ドア",2,0,0,0,0,0
"ドイツ",0,0,0,1,0,0
"ドゥミ",0,0,0,1,0,0
"とうもろこし",0,0,0,1,0,0
"トーク",0,0,0,1,0,0
"トータル",1,0,0,0,0,0
"とおり",2,0,0,0,0,0
"どおり",1,0,0,1,0,0
"とき",18,0,3,3,1,7
"トク",2,0,0,0,0,1
"どこ",2,0,3,2,1,2
"ドコモ",0,0,0,1,0,0
"ところ",12,0,6,12,1,4
"トスカーナ",0,0,0,1,0,0
"どちら",10,0,5,3,0,5
"トットリ",0,0,0,2,0,0
"トップ",4,0,0,2,0,0
"トップダウン",0,0,0,1,0,0
"どの",1,0,0,0,0,0
"トマト",0,0,0,1,0,0
"とも",1,0,0,2,0,1
"ども",1,0,0,0,0,0
"トヨタ",2,0,0,1,0,0
"トヨタ自動車",1,0,0,0,0,0
"ドライバー",2,0,0,1,0,0
"トラクター",1,0,0,0,0,0
"ドラッカー",0,0,0,1,0,0
"トラック",0,0,0,0,3,0
"トラブル",3,0,0,2,0,0
"ドラマ",0,0,0,1,0,0
"トリ",2,0,1,0,0,0
"トリー",0,0,1,0,0,0
"トリーカ",15,0,0,0,0,0
"ドリンク",1,0,0,0,0,1
"トレ",1,0,0,0,0,1
"どれ",5,0,11,5,1,2
"トレーニング",1,0,0,0,0,0
"トレンド",1,0,0,0,0,0
"ドローン",1,0,0,0,0,0
"ドローンパイロット",1,0,0,0,0,0
"ドローンビジネス",6,0,0,0,0,0
"ドローンビジネスドローン",1,0,0,0,0,0
"とんでも",0,0,0,1,0,0
"ナーシングコアコーポレーション",0,0,0,1,0,0
"なあなあ",0,0,0,1,0,0
"ない",52,0,20,58,11,11
"なか",1,4,1,9,0,0
"なじみ",1,0,0,0,0,0
"ナス",0,0,0,1,0,0
"なに",2,0,1,1,0,0
"ならでは",1,0,0,2,0,2
"ナレーション",0,0,0,0,1,0
"なん",4,0,0,6,0,0
"ニーズ",0,0,0,0,1,0
"にぎやか",1,0,0,0,0,0
"にくい",5,0,0,4,0,1
"ニュー",0,0,0,2,0,0
"ニュース",3,0,3,1,1,0
"ヌエバ",2,0,0,0,0,0
"ネイティブ",3,0,0,0,0,0
"ネガティブ",1,0,1,1,0,0
"ねこ",0,0,0,0,0,3
"ネズミ",0,0,0,1,0,0
"ネタ",4,0,0,0,0,0
"ネット",0,0,1,0,0,1
"ネットワーク",1,0,0,2,0,0
"ネル",0,0,0,0,7,0
"の",292,5,158,205,17,85
"ノウハウ",4,0,0,4,0,0
"ノー",0,0,0,1,0,0
"ノーベル",0,0,0,1,0,0
"ノーマル",0,0,0,2,0,0
"ノド",0,0,0,1,0,0
"ノブ",1,0,0,0,0,0
"ノリ",0,0,0,1,0,0
"のれん",0,0,0,0,0,1
"パーソナル",1,0,0,0,0,0
"ハード",0,0,0,2,0,0
"ハードウェア",4,0,0,0,0,0
"ハードル",1,0,0,0,1,2
"パイオニア",1,0,0,0,0,0
"バイザー",1,0,0,1,0,0
"バイト",0,0,0,1,0,0
"ハイブリット",0,0,0,1,0,0
"ハイヤー",1,0,0,0,0,0
"バイヤー",1,0,0,0,0,0
"パイロット",1,0,0,0,0,0
"バウンド",4,0,0,0,0,0
"はがき",1,0,0,0,0,1
"バカッター",2,0,0,0,0,0
"はじめ",5,1,1,8,0,3
"はず",1,0,1,7,3,0
"バス",1,0,4,15,3,0
"バスク",2,0,0,0,0,0
"バスケットボール",1,0,0,1,0,0
"パスポート",0,0,0,0,0,6
"パソコン",3,0,1,0,0,0
"パターン",7,0,0,0,0,0
"パック",1,0,0,0,0,0
"バックアップ",1,0,0,1,0,0
"パッケージ",2,0,0,0,0,0
"パトロール",1,0,0,0,0,0
"パパ",0,0,0,1,0,0
"パフォーマンス",1,0,0,3,0,0
"パブリシティー",1,0,0,0,0,0
"パブリック",0,0,0,0,0,21
"バブル",0,0,1,6,0,0
"バラ",0,0,0,0,0,1
"パラダイムシフト",1,0,0,1,0,0
"パラリンピック",1,0,0,0,0,0
"パラレル",0,0,0,1,0,0
"バランス",0,0,2,1,0,0
"ばり",1,0,0,0,0,0
"はるか",1,0,0,0,0,0
"パルムドール",0,0,0,1,0,0
"パレート",1,0,0,0,0,0
"パワー",0,0,0,1,0,0
"ハワイ",0,0,0,0,0,1
"パワハラ",2,0,0,0,0,0
"パン",1,0,0,0,0,1
"ハング",2,0,0,0,0,0
"バンク",0,0,1,1,0,0
"ハンズオン",0,0,0,1,0,0
"パンデ",0,0,0,2,0,0
"ハンディ",1,0,0,0,0,0
"ハンドル",1,0,0,0,0,0
"ピーク",0,0,3,0,0,0
"ピース",0,0,0,4,0,0
"ピーター",0,0,0,1,0,0
"ビール",1,0,0,0,0,0
"ビザ",2,0,0,0,0,0
"ビジネス",43,0,6,11,4,3
"ビジネスチャットツール",13,0,0,0,0,0
"ビジネスチャンス",2,0,1,2,0,0
"ビジネスパーソン",1,0,0,1,0,0
"ビジネスフレームワーク",1,0,0,0,0,0
"ビジネスマン",6,0,0,1,1,0
"ヒストグラム",1,0,0,0,0,0
"ひたむき",2,0,0,0,0,0
"ビッグ",1,0,0,1,0,0
"ピックアップ",3,0,0,0,0,1
"ピッチ",0,0,0,1,0,0
"ヒット",0,0,0,1,0,0
"ビデオ",0,0,1,0,0,0
"ひと",0,0,1,0,0,0
"ひとつ",0,0,0,1,0,1
"ひとり",2,0,0,0,0,0
"ひと味",0,0,0,1,0,0
"ひな壇",1,0,0,0,0,0
"ビニール",1,0,0,0,0,0
"ビフォーコロナ",0,0,0,1,0,0
"ヒューマニズム",0,0,0,1,0,0
"ビル",2,0,0,0,0,0
"ヒロイズム",0,0,0,1,0,0
"ピンク",1,0,0,0,0,0
"ピンチ",1,0,0,0,4,0
"ヒント",3,4,0,1,0,0
"ファ",0,0,0,2,0,0
"ファー",0,0,0,1,0,0
"ファーム",1,0,0,1,0,0
"ファクター",0,0,0,1,0,0
"ファストフード",0,0,1,0,0,0
"ファックス",0,0,0,1,0,0
"ファミリー",1,0,0,0,0,0
"ファミレス",0,0,1,0,0,0
"ファン",1,1,0,0,0,0
"フィードバック",1,0,0,0,0,0
"フィールド",2,0,0,0,0,3
"フィールドワーク",1,0,0,0,0,0
"フィット",1,0,0,0,0,1
"フィリピン",0,0,0,1,0,0
"フィレンツェ",0,0,0,2,0,0
"フード",0,0,0,0,4,0
"ブーム",2,0,0,1,0,0
"フェイス",0,0,0,1,0,0
"フェーズ",1,0,0,3,0,0
"フェス",0,0,0,1,0,0
"フェルナン",0,0,0,1,0,0
"フォーカス",7,0,1,0,0,0
"フォト",4,0,0,0,0,0
"フォロー",4,0,0,0,0,1
"フォン",1,0,30,1,0,0
"ふち",0,0,0,0,0,4
"フットワーク",1,0,0,0,0,0
"プライス",1,0,0,0,0,0
"プライド",0,0,0,0,1,0
"プライバシー",1,0,0,0,0,0
"プライベート",2,0,0,0,0,0
"プライマリケア",0,0,0,1,0,0
"ブラウザ",0,0,1,0,0,0
"ブラジャー",9,0,0,0,0,0
"ブラジル",0,0,0,1,0,0
"プラス",1,0,0,0,0,1
"ブラックボックス",0,0,0,1,0,0
"フラット",0,0,0,0,1,0
"プラットフォーム",0,0,0,1,0,0
"フラワー",1,0,0,0,0,0
"プラン",5,0,0,1,0,0
"プランクトン",0,0,0,0,2,0
"フランス",1,0,0,2,0,0
"ブランディング",0,0,0,0,1,0
"ブランド",2,0,0,0,2,0
"ブリ",1,0,0,0,0,0
"フリー",2,0,0,0,0,0
"フリーザチルドレンジャパン",0,0,0,1,0,0
"フリーランス",0,0,0,5,0,0
"プリペイド",1,0,0,0,0,0
"プリンター",0,1,0,1,0,0
"フル",2,0,0,3,0,0
"フルコース",0,0,0,1,0,0
"ふるさと",4,0,0,1,0,5
"フルタイム",0,0,0,1,0,0
"ブレ",0,0,0,1,0,0
"プレイヤー",1,0,0,0,0,0
"フレーズ",1,0,2,0,0,0
"フレーム",11,0,0,1,0,0
"ブレーンストーミング",1,0,0,0,0,0
"プレス",2,0,0,0,0,0
"ブレスト",2,0,0,0,0,0
"プレゼン",0,0,0,5,0,0
"プレゼンス",0,0,0,1,0,0
"プレゼンテーション",1,0,0,0,0,0
"プレゼント",3,0,0,1,0,0
"フレックス",0,0,1,0,0,0
"プレミアム",0,0,0,0,0,20
"プロ",2,0,0,1,0,0
"ブローデル",0,0,0,1,0,0
"プログラミング",2,0,0,3,0,0
"プログラム",0,0,0,1,1,0
"プロジェクター",0,0,0,1,0,0
"プロジェクト",12,0,0,16,6,0
"プロスペリティ",2,0,0,0,0,0
"プロスペリティセンター",13,0,0,0,0,0
"プロセス",1,0,0,2,0,0
"プロダクト",1,0,0,0,0,0
"ブロック",0,0,0,3,0,0
"ブロッコリー",1,0,0,0,0,0
"プロデューサー",0,0,0,1,0,0
"プロデュース",0,0,0,1,1,0
"プロトタイピング",1,0,0,0,0,0
"プロフィール",0,0,0,5,1,0
"プロボノ",0,0,0,1,0,0
"プロモーション",0,0,0,0,1,0
"ペア",0,0,0,0,0,1
"ベアー",1,0,0,0,0,0
"ペイ",4,0,0,0,0,0
"ベーシック",1,0,0,0,0,0
"ベース",0,0,0,2,0,0
"ペース",3,0,0,4,0,0
"ペーパー",1,0,0,0,0,0
"ベクトル",0,0,1,0,0,0
"ヘグロビン",0,0,0,0,1,0
"ベスト",0,0,0,0,0,1
"ペスト",0,0,0,10,0,0
"ペチュニア",1,0,0,0,0,0
"ベッカー",2,0,0,0,0,0
"ヘモグロビン",0,0,0,0,1,0
"ヘルスケア",0,0,0,1,0,0
"ペルソナ",1,0,0,0,0,0
"ヘルパー",0,0,0,1,0,0
"ベンチャー",4,0,0,2,0,0
"ホ",0,0,0,3,0,0
"ポイント",46,0,0,2,0,3
"ほう",0,0,0,1,0,0
"ほうき",4,0,0,0,0,0
"ボー",0,0,0,0,0,2
"ボーイング",1,0,0,0,0,0
"ポータル",0,0,0,3,0,0
"ボード",0,0,0,0,0,3
"ポートフォリオ",0,0,0,1,0,0
"ポートフォリオワーカー",0,0,0,1,0,0
"ボーナス",3,0,0,1,0,0
"ホームページ",3,0,1,0,0,16
"ボーリング",0,0,0,2,0,1
"ホール",0,0,0,1,0,0
"ホールディングス",1,0,0,0,0,0
"ほか",4,0,0,1,0,1
"ボケ",1,0,0,0,0,0
"ほしい",13,0,0,8,1,2
"ポジショニング",2,0,0,0,0,0
"ポジション",0,0,0,2,0,0
"ポジティブ",1,0,1,5,0,0
"ポスター",1,0,0,0,0,0
"ポスト",1,0,0,4,0,0
"ホスピタリティ",0,0,0,1,0,0
"ホスピテイル",0,0,0,2,0,0
"ホタル",0,0,0,2,0,0
"ポチ",1,0,0,0,0,0
"ボッカチオ",0,0,0,3,0,0
"ホット",1,0,0,0,0,1
"ポップス",0,0,1,0,0,0
"ホテル",2,0,0,0,0,2
"ポテンシャル",0,0,0,4,0,0
"ほど",0,0,1,0,0,2
"ボトムアップ",0,0,0,2,0,0
"ほどよい",0,0,0,1,0,0
"ほとり",1,0,0,0,0,0
"ボランティア",2,0,0,0,0,0
"ほり",0,0,0,1,0,0
"ポリシー",1,0,0,0,0,0
"ホルモン",1,0,0,0,0,0
"ホワイト",1,0,0,0,0,0
"ぼんやり",1,0,0,0,0,0
"マーク",2,0,0,0,0,0
"マーケット",3,0,0,0,0,0
"マーケティング",1,0,0,0,1,0
"マイ",1,0,0,1,0,0
"マイク",1,0,0,0,0,0
"マイクロツーリズム",8,0,0,0,0,4
"マイナー",1,0,0,0,0,0
"マイナス",0,0,0,0,0,2
"マイナビ",4,0,3,0,0,0
"マイナポイント",1,0,0,0,0,0
"マイナポイントキャンペーン",2,0,0,0,0,0
"マインド",1,0,0,4,0,0
"まき",0,0,0,0,0,3
"マクドナルド",0,0,0,0,2,0
"マクロ",0,0,1,0,0,0
"まじめ",0,0,0,2,0,0
"マスク",9,0,0,3,0,3
"マスクテレワーク",0,0,0,1,0,0
"マスター",1,0,0,0,0,0
"まち",10,0,4,0,0,1
"マチカマネー",0,0,0,0,0,1
"まちなか",0,0,0,1,0,0
"まっすぐ",1,0,0,0,0,0
"マッチング",0,0,0,3,0,0
"マップ",2,0,0,0,0,0
"まつり",0,1,0,0,0,0
"まとめ",0,0,2,0,0,0
"まとも",1,0,0,0,0,0
"マトリクス",1,0,0,0,0,0
"マトリクスタイプ",7,0,0,0,0,0
"マトリクスタイプマトリクスタイプ",1,0,0,0,0,0
"マドンナ",1,0,0,0,0,0
"マナー",0,0,0,6,0,1
"マニュアル",4,0,0,0,0,0
"マネー",10,0,0,0,0,2
"マネージメント",0,0,0,0,1,0
"マネージャー",2,0,0,1,1,0
"マネカマネー",0,0,0,0,0,1
"マネジメント",2,0,0,2,0,0
"ママ",0,0,0,3,0,0
"まま",0,0,0,3,0,0
"まめ",0,0,0,0,0,1
"マリン",0,0,0,0,0,2
"マルサンアイ",16,0,0,0,0,0
"まれ",2,0,0,0,0,0
"マンション",0,0,1,0,0,0
"ミーティング",4,0,0,0,0,0
"ミクロ",0,0,1,0,0,0
"ミス",1,0,0,0,0,1
"みそ",1,0,0,0,0,0
"みたい",0,0,0,3,1,0
"みつ",2,0,0,0,0,0
"ミック",0,0,0,2,0,0
"みなさん",0,0,1,0,1,0
"ミニストップ",0,0,0,0,0,1
"ミネルヴァ書房",0,0,0,1,0,0
"みやこ",0,0,1,0,0,0
