"","Term","Freq"
"1","こと",1261
"2","鳥取",1114
"3","の",762
"4","県",677
"5","よう",471
"6","的",326
"7","地域",284
"8","年",280
"9","人",260
"10","私",254
"11","ため",249
"12","者",246
"13","企業",240
"14","化",226
"15","コロナ",215
